id,errors-question1,errors-question2,errors-question3,errors-question4,errors-question5,errors-question6
20170141214,0,0,1,0,1,2
11412497,0,0,4,2,2,
20170027630,0,,4,,0,1
20170110227,2,2,3,0,,5
20170073034,2,,,0,2,1
2016090227,2,1,1,1,2,2
20170024290,1,1,2,1,,3
20170061679,2,4,,2,,
2016084702,2,0,,1,2,4
20170016539,1,0,3,,,
20170018936,2,0,0,,,
20170101451,0,2,2,1,0,3
20170071559,1,0,0,1,,1
20160121307,0,0,0,0,1,4
20170015291,1,0,0,0,0,1
20170110183,0,1,1,2,3,
20170058655,0,0,0,0,0,
20170112348,1,0,0,,2,2
20170027158,0,,4,,,
20170008410,2,2,4,2,1,4
20170157420,2,2,3,,,
20170022071,1,,,,,
20170109324,2,0,,0,,3
20170018097,3,3,,0,4,4
20170200235,3,4,4,4,,
20170017797,0,0,2,2,1,2
20170164380,3,2,3,0,3,2
20170059376,1,1,1,0,0,2
