id,errors-question1,errors-question2,errors-question3,errors-question4,errors-question5,errors-question6,errors-question7,errors-question8,errors-question9,errors-question10,errors-question11
2016094066,1,0,0,3,0,0,999,999,999,999,1
20170061991,0,0,1,3,999,999,999,999,999,999,999
20170110906,0,0,1,0,1,1,0,0,0,0,2
11219029,1,1,1,3,2,999,999,999,999,999,3
20170073517,0,0,1,0,0,0,1,1,0,0,0
20160157990,0,1,1,5,2,999,2,1,1,1,3
20170109549,0,0,0,0,1,2,0,0,0,0,0
20170059053,0,0,999,4,2,2,2,0,1,0,2
11500456,2,0,1,5,999,999,2,1,1,1,3
20170109941,0,0,0,0,0,0,2,1,1,1,0
20170023631,1,0,1,2,1,999,999,999,999,999,0
20180065054,1,0,1,1,1,2,999,999,999,999,2
20160155708,0,0,1,4,1,2,999,999,999,999,999
11410085,0,0,0,1,1,1,2,1,1,1,3
20170195538,0,0,1,0,1,1,999,999,999,999,3
11514190,0,0,0,1,1,0,999,999,999,999,2
20170026858,0,0,1,2,1,1,2,1,1,999,0
20170078596,0,0,1,2,2,3,2,999,999,999,3
20170062578,0,1,1,1,2,3,2,1,1,1,999
11508019,2,1,1,2,1,2,999,999,999,999,999
20170009712,0,1,1,2,1,3,999,999,999,999,2
2016066320,0,999,999,3,1,999,999,999,999,999,999
20170160793,1,0,0,3,1,2,999,999,999,999,2
20180161810,0,0,1,2,0,1,0,0,0,999,2
20180161794,0,0,999,1,1,999,1,1,1,1,2
20170108078,0,0,1,2,2,999,999,999,999,999,999
2016088480,1,0,0,2,0,0,1,999,999,999,1
11316792,0,1,1,0,0,2,999,999,999,999,999
2016077860,3,1,1,2,999,999,999,999,999,999,999
11511649,1,0,999,3,2,999,999,999,999,999,999
20160125825,0,1,1,999,999,999,3,3,3,2,999
