id,errors-question1,errors-question2,errors-question3,errors-question4,errors-question5,errors-question6,errors-question7
20170113185,1,0,0,0,0,4,4
20170158300,1,0,0,0,0,0,0
20170058978,0,1,0,0,0,1,3
20170108962,0,0,0,0,0,0,0
20170112811,0,0,0,0,1,0,0
20180164446,0,0,0,0,0,0,0
20170143513,0,0,0,0,0,0,0
20170113891,0,0,0,0,1,0,2
20170164809,0,0,0,0,0,1,2
20170129579,1,1,0,0,0,2,2
20170024559,1,1,0,0,0,1,0
20170130337,0,1,0,0,0,0,0
20170133007,0,0,0,0,0,0,0
20180013218,1,1,0,0,0,1,2
20170111663,1,0,0,0,0,0,1
20170111289,1,1,0,0,0,3,4
20170152334,1,2,0,0,0,5,4
20170157368,1,0,0,0,0,0,0
20170111206,0,0,999,999,999,1,4
20170110245,0,0,0,0,0,3,3
20170015658,0,0,0,0,0,0,0
20170114066,0,0,0,0,0,0,1
20180059754,0,1,0,0,0,5,5
20170114039,0,1,0,0,0,1,4
20170155130,1,1,0,0,1,1,3
20170195396,0,0,0,0,1,0,0
20170144931,1,1,0,0,999,1,4
20170113766,0,1,0,0,0,1,2
2016094066,1,0,0,1,1,1,2
20170061991,2,1,0,1,0,4,5
20170073517,0,0,0,1,0,0,1
20160157990,2,2,1,0,0,3,5
20170109549,0,1,0,0,0,1,5
20170059053,0,0,0,0,0,1,4
11500456,2,2,0,0,1,5,5
20170109941,2,2,0,1,0,2,5
20170023631,1,0,999,999,999,5,1
20180065054,1,0,0,0,1,1,2
20160155708,999,999,999,999,999,5,999
20170195538,0,0,0,0,1,1,3
11514190,0,0,0,0,0,0,2
20170026858,999,999,0,0,1,999,5
20170078596,2,1,0,0,0,1,4
20170009712,1,0,0,0,0,1,2
20170160793,1,999,0,0,0,1,4
20180161810,0,0,0,0,0,2,1
20170108078,2,2,999,999,999,999,999
2016088480,2,2,0,0,0,4,5
20160125825,2,2,0,1,1,3,5
