id,errors-question1,errors-question2,errors-question3,errors-question4,errors-question5
20170065874,1,3,0,3,3
20170014230,0,4,0,2,3
20170025190,0,0,0,0,1
20170104800,,4,2,,
11411494,,,,,
2016098353,1,3,2,2,1
20160127641,2,3,2,0,2
20160127481,2,2,2,2,0
20170027238,1,2,3,0,2
20160116343,1,,3,2,
20160130507,2,2,1,1,3
20170061893,0,3,2,0,0
20170028610,2,2,2,0,1
20170021459,1,2,1,2,2
20170019138,0,1,2,0,0
20170016010,0,5,0,2,1
13504565,5,3,2,1,4
20170025215,1,3,,4,1
20170027837,0,0,0,0,0
20170019352,0,0,1,0,4
20160120328,0,2,0,3,2
20170035650,2,1,0,2,0
20170023097,0,0,0,0,0
20170111402,3,0,0,3,1
20170025995,0,2,0,2,1
20160224926,0,0,0,4,3
20170079397,0,0,0,0,5
20170019817,0,4,0,2,1
20170066559,0,0,0,3,2
20170028656,4,3,0,2,0
20170024577,1,0,2,2,0
20160118867,0,2,3,2,3
2016086108,0,3,3,0,0
20170021412,0,0,0,0,0
20170024512,0,5,0,4,0
20170042735,1,2,0,1,0
20170047811,1,2,2,1,0
20170033010,1,1,1,0,0
20170044551,0,0,0,0,0
20170033790,0,3,0,0,5
20170116230,0,0,2,0,0
20170111304,1,4,3,2,1
20170040534,2,0,0,0,2
20170042978,0,0,1,2,
