id,errors-question1,errors-question2,errors-question3,errors-question4,Errors-question5
20180053910,0,0,0,0,0
20180057633,2,0,0,0,0
20180164335,1,3,1,3,4
20170109988,3,3,3,4,4
20180064932,1,0,0,0,5
20170112007,3,1,1,2,2
20180162512,2,3,3,4,4
20180157420,2,2,2,0,2
11509173,1,,,3,3
20190169132,2,2,0,1,1
20180165443,2,2,2,2,4
20180039312,2,0,0,2,1
2016069582,0,1,1,2,5
20180052833,2,1,0,1,
20170200235,2,1,2,2,3
20180058158,0,2,2,1,0
20180069572,0,1,2,1,0
20180042318,2,1,1,0,4
20170002613,2,3,3,4,
20170008410,0,0,0,0,0
20190169114,2,1,1,1,6
20180165819,1,2,2,5,1
20180049130,2,1,1,0,0
20180042739,5,4,4,4,4
